,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
391,12-2-004,7.684210526315727,,122.58823529411765,256.6875,
392,12-2-005,14.266666666666639,,121.45454545454544,240.0,
393,12-2-006,1.9999999999999796,,,168.52173913043478,224.30434782608697
394,12-2-007,1.4285714285714235,,,127.0909090909091,234.56410256410254
395,12-2-008,11.799999999999988,,,132.75,223.16129032258064
396,12-2-009,17.777777777777782,,,158.3673469387755,
397,12-2-010,5.200000000000005,,,160.70000000000002,
398,12-2-011,2.2500000000000187,,,125.77777777777777,236.50000000000003
399,12-3-001,2.5714285714285023,,,266.91428571428565,
400,12-3-002,6.000000000000005,,129.70370370370372,293.94444444444446,332.2941176470589
401,12-3-003,8.444444444444432,,,113.85185185185188,252.11764705882356
402,12-3-004,5.500000000000016,,,116.75675675675676,224.71428571428572
403,12-3-005,24.190476190476165,,,143.72222222222223,
404,12-3-006,7.454545454545447,,,112.34285714285714,229.66666666666669
405,12-3-007,6.461538461538452,,,126.44897959183675,
406,12-3-008,9.33333333333335,,,98.17647058823529,221.0
407,12-3-009,10.499999999999995,,,96.35294117647057,
408,12-3-010,9.499999999999995,,83.07692307692308,107.75999999999999,
409,12-3-011,3.9999999999999925,,97.68,143.88235294117646,
410,12-4-001,13.090909090909076,,145.44,312.56249999999994,348.6875
411,12-4-002,6.250000000000011,,114.15384615384619,281.04761904761904,311.7837837837838
412,12-4-003,9.263157894736867,,105.0,216.8,
413,12-4-004,7.454545454545447,,,114.5217391304348,207.58620689655172
414,12-4-005,7.999999999999985,,,84.42857142857143,
415,12-4-006,10.72727272727274,,,80.8235294117647,
416,12-4-007,9.363636363636385,,,93.52941176470588,199.69230769230768
417,12-4-008,12.571428571428566,,,112.23529411764706,201.9230769230769
418,12-4-009,6.666666666666665,,,100.28571428571429,
419,12-4-010,6.600000000000028,,111.11111111111111,193.12,208.35714285714286
